7/28/2022 12:14:40 AM,G:\downloads\2021 IT Strategy Planning Calendar v6(1).docx,G:\moved-downloads\Word processor and text file\2022\January\2021 IT Strategy Planning Calendar v6(1).docx,
7/28/2022 12:14:40 AM,G:\downloads\2021 IT Strategy Planning Calendar v6.docx,G:\moved-downloads\Word processor and text file\2022\January\2021 IT Strategy Planning Calendar v6.docx,
7/28/2022 12:14:40 AM,G:\downloads\2022 IT Strategy Planning Calendar v1.docx,G:\moved-downloads\Word processor and text file\2022\March\2022 IT Strategy Planning Calendar v1.docx,
7/28/2022 12:14:40 AM,G:\downloads\3. Unit 2 - Journey to the East by Hesse (1211)(1).pdf,G:\moved-downloads\PDF file\2021\October\3. Unit 2 - Journey to the East by Hesse (1211)(1).pdf,
7/28/2022 12:14:40 AM,G:\downloads\3. Unit 2 - Journey to the East by Hesse (1211).pdf,G:\moved-downloads\PDF file\2021\September\3. Unit 2 - Journey to the East by Hesse (1211).pdf,
7/28/2022 12:14:40 AM,G:\downloads\34412226(1).pdf,G:\moved-downloads\PDF file\2021\August\34412226(1).pdf,
7/28/2022 12:14:40 AM,G:\downloads\34412226.pdf,G:\moved-downloads\PDF file\2021\August\34412226.pdf,
7/28/2022 12:14:40 AM,G:\downloads\34412296(1).pdf,G:\moved-downloads\PDF file\2021\August\34412296(1).pdf,
7/28/2022 12:14:40 AM,G:\downloads\34412296.pdf,G:\moved-downloads\PDF file\2021\August\34412296.pdf,
7/28/2022 12:14:40 AM,G:\downloads\35561631(1).pdf,G:\moved-downloads\PDF file\2021\August\35561631(1).pdf,
7/28/2022 12:14:40 AM,G:\downloads\35561631.pdf,G:\moved-downloads\PDF file\2021\August\35561631.pdf,
7/28/2022 12:14:40 AM,G:\downloads\35728971.pdf,G:\moved-downloads\PDF file\2021\November\35728971.pdf,
7/28/2022 12:14:40 AM,G:\downloads\4. Covey - Habit 3 (1211).pptx,G:\moved-downloads\Presentation file\2021\November\4. Covey - Habit 3 (1211).pptx,
